prompt,global_category,context1,context2
one-shot CoT,competitor_c1,0.6071428571428571,0.15517241379310345
one-shot CoT,competitor_c2,0.30357142857142855,0.7931034482758621
one-shot CoT,mostSimilar,0.39285714285714285,0.43103448275862066
one-shot CoT,otherCategory,0.16071428571428573,0.1896551724137931
one-shot Explanation,competitor_c1,0.9814814814814815,0.43333333333333335
one-shot Explanation,competitor_c2,0.6296296296296297,0.8
one-shot Explanation,mostSimilar,0.6666666666666666,0.6166666666666667
one-shot Explanation,otherCategory,0.5185185185185185,0.4
one-shot QA,competitor_c1,0.5344827586206896,0.07017543859649122
one-shot QA,competitor_c2,0.20689655172413793,0.6140350877192983
one-shot QA,mostSimilar,0.1896551724137931,0.24561403508771928
one-shot QA,otherCategory,0.08620689655172414,0.10526315789473684
zero-shot,competitor_c1,0.6785714285714286,0.6415094339622641
zero-shot,competitor_c2,0.75,0.6792452830188679
zero-shot,mostSimilar,0.875,0.8113207547169812
zero-shot,otherCategory,0.5357142857142857,0.5471698113207547
human E2,competitor_c1,0.7897727272727273,0.2722222222222222
human E2,competitor_c2,0.2784090909090909,0.7166666666666667
human E2,mostSimilar,0.3068181818181818,0.5611111111111111
human E2,otherCategory,0.06818181818181818,0.08333333333333333
